DateAndTime            ,Date            ,Time        ,TOTAL_FBC               
2022-11-16 02:53:26.000,      2022-11-16,02:53:26    ,                   814.0
2022-11-16 02:52:26.000,      2022-11-16,02:52:26    ,                   812.0
2022-11-16 02:51:26.000,      2022-11-16,02:51:26    ,                   808.0
2022-11-16 02:50:26.000,      2022-11-16,02:50:26    ,                   803.0
2022-11-16 02:49:26.000,      2022-11-16,02:49:26    ,                   801.0
2022-11-16 02:48:26.000,      2022-11-16,02:48:26    ,                   799.0
2022-11-16 02:47:26.000,      2022-11-16,02:47:26    ,                   797.0
2022-11-16 02:46:26.000,      2022-11-16,02:46:26    ,                   794.0
2022-11-16 02:45:26.000,      2022-11-16,02:45:26    ,                   792.0
2022-11-16 02:44:26.000,      2022-11-16,02:44:26    ,                   789.0
2022-11-16 02:43:26.000,      2022-11-16,02:43:26    ,                   786.0
2022-11-16 02:42:26.000,      2022-11-16,02:42:26    ,                   786.0
2022-11-16 02:41:26.000,      2022-11-16,02:41:26    ,                   782.0
2022-11-16 02:40:26.000,      2022-11-16,02:40:26    ,                   778.0
2022-11-16 02:39:26.000,      2022-11-16,02:39:26    ,                   777.0
2022-11-16 02:38:26.000,      2022-11-16,02:38:26    ,                   775.0
2022-11-16 02:37:26.000,      2022-11-16,02:37:26    ,                   772.0
2022-11-16 02:36:26.000,      2022-11-16,02:36:26    ,                   769.0
2022-11-16 02:35:26.000,      2022-11-16,02:35:26    ,                   765.0
2022-11-16 02:34:26.000,      2022-11-16,02:34:26    ,                   761.0
2022-11-16 02:33:26.000,      2022-11-16,02:33:26    ,                   758.0
2022-11-16 02:32:26.000,      2022-11-16,02:32:26    ,                   756.0
2022-11-16 02:31:26.000,      2022-11-16,02:31:26    ,                   756.0
2022-11-16 02:30:26.000,      2022-11-16,02:30:26    ,                   755.0
2022-11-16 02:29:26.000,      2022-11-16,02:29:26    ,                   753.0
2022-11-16 02:28:26.000,      2022-11-16,02:28:26    ,                   752.0
2022-11-16 02:27:26.000,      2022-11-16,02:27:26    ,                   752.0
2022-11-16 02:26:26.000,      2022-11-16,02:26:26    ,                   747.0
2022-11-16 02:25:26.000,      2022-11-16,02:25:26    ,                   745.0
2022-11-16 02:24:26.000,      2022-11-16,02:24:26    ,                   742.0
2022-11-16 02:23:26.000,      2022-11-16,02:23:26    ,                   738.0
2022-11-16 02:22:26.000,      2022-11-16,02:22:26    ,                   733.0
2022-11-16 02:21:26.000,      2022-11-16,02:21:26    ,                   729.0
2022-11-16 02:20:26.000,      2022-11-16,02:20:26    ,                   723.0
2022-11-16 02:19:26.000,      2022-11-16,02:19:26    ,                   719.0
2022-11-16 02:18:26.000,      2022-11-16,02:18:26    ,                   717.0
2022-11-16 02:17:26.000,      2022-11-16,02:17:26    ,                   715.0
